*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB Led Drivers
*Date=17:07:27
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
396;;;2.8829;-200.027;0;Bottom;Copper Fill521
397;;;17.5514;-193.194;0;Bottom;Copper Fill405
398;;;2.5273;-350.649;0;Bottom;Copper Fill255
399;;;20.1257;-311.089;0;Bottom;Via120
400;;;16.2433;-34.5713;0;Bottom;Copper Fill217
401;;;6.8072;-55.1199;0;Bottom;Copper Fill488
402;;;7.239;-77.8275;0;Bottom;Copper Fill473
403;;5 mm [THT];26.2246;-296.102;0;Bottom;LED75
404;;;14.8844;-226.214;0;Bottom;Copper Fill381
405;;;23.368;-141.328;0;Bottom;Copper Fill150
406;;;8.0264;-147.119;0;Bottom;Copper Fill147
407;;5 mm [THT];26.2246;-261.05;0;Bottom;LED81
408;;;15.3924;-289.27;0;Bottom;Copper Fill253
409;;;2.7432;-53.3419;0;Bottom;Copper Fill197
410;;;2.6924;-240.388;0;Bottom;Copper Fill91
411;;5 mm [THT];26.2021;-331.176;0;Bottom;LED88
412;;;13.0302;-208.892;0;Bottom;Copper Fill113
413;100nF;100 mil [THT, multilayer];3.84717;-351.496;0;Bottom;C52
414;;;10.795;-351.589;0;Bottom;Copper Fill308
415;;;12.827;-241.937;0;Bottom;Copper Fill93
416;;;2.9337;-106.504;0;Bottom;Copper Fill504
417;100nF;100 mil [THT, multilayer];4.73617;-39.4566;0;Bottom;C6
418;;;28.321;-123.776;0;Bottom;Copper Fill159
419;;;15.3924;-242.534;0;Bottom;Copper Fill245
420;;;29.2697;-299.024;0;Bottom;Via158
421;;;28.2448;-374.982;0;Bottom;Copper Fill12
422;;;19.05;-148.973;0;Bottom;Copper Fill430
423;;;21.1074;-287.479;0;Bottom;Copper Fill61
424;;;24.5482;-39.8376;0;Bottom;Via162
425;;;21.6154;-387.327;0;Bottom;Copper Fill289
426;;;7.1374;-202.796;0;Bottom;Copper Fill395
427;;;21.9202;-358.929;0;Bottom;Copper Fill21
